recordsInserted,logicalReads,logicalWrites,physicalReads,physicalWrites,cacheHits,cacheMisses
500,921,10,1,2,921,1
1000,1929,18,1,2,1929,1
1500,2888,83,54,126,2888,54
2000,3714,269,234,498,3714,234
2500,4469,528,486,1016,4469,486
3000,5198,831,773,1622,5198,773
3500,5848,1189,1127,2338,5848,1127
4000,6504,1541,1475,3042,6504,1475
4500,7155,1908,1833,3776,7155,1833
5000,7789,2292,2208,4544,7789,2208
5500,8412,2703,2602,5366,8412,2602
6000,9008,3119,3012,6198,9008,3012
6500,9612,3531,3416,7022,9612,3416
7000,10194,3957,3838,7874,10194,3838
7500,10777,4392,4264,8744,10777,4264
8000,11855,4827,4690,9614,11855,4690
8500,12919,5275,5132,10510,12919,5132
9000,13987,5725,5573,11410,13987,5573
9500,15052,6186,6021,12332,15052,6021
10000,16126,6624,6453,13208,16126,6453
