policy,bufferSize,nPages,writePct,logicalReads,logicalWrites,physicalReads,physicalWrites,cacheHits,cacheMisses
1,20,200,0,2002,200,17998,400,2002,17998
1,20,200,10,1974,2153,18026,4300,1974,18026
1,20,200,30,1989,6041,18011,12078,1989,18011
1,20,200,50,1973,9675,18027,19338,1973,18027
1,20,200,70,1991,13161,18009,26294,1991,18009
1,20,200,90,2025,16583,17975,33128,2025,17975
2,20,200,0,1980,200,18020,400,1980,18020
2,20,200,10,2108,2192,17892,4374,2108,17892
2,20,200,30,2098,6018,17902,12020,2098,17902
2,20,200,50,1928,9669,18072,19310,1928,18072
2,20,200,70,1953,13248,18047,26470,1953,18047
2,20,200,90,2046,16506,17954,32976,2046,17954
